Home;Away;1;X;2;1X;X2;12;O15;U15;O25;U25;O35;U35;GG;Missing XGS;Both Cards;Score;Bet1;BetX;Bet2;BetO15;BetU15;BetO25;BetU25;BetO35;BetU35;BetGG;BetNG;Edge1;EdgeX;Edge2;EdgeO15;EdgeU15;EdgeO25;EdgeU25;EdgeO35;EdgeU35;EdgeGG;EdgeNG;Kelly1;KellyX;Kelly2;KellyO15;KellyU15;KellyO25;KellyU25;KellyO35;KellyU35;KellyGG;KellyNG
Atalanta;Bologna;67.02;20.18;12.8;87.19999999999999;32.980000000000004;79.82;75.77;24.23;50.94;49.06;28.75;71.25;45.1;false;35.79;1-0:13.29;1.7;4.0;4.4;;;;;;;;;0.082;-0.0482;-0.0993;;;;;;;;;0.1171;0;0;0;0;0;0;0;0;0;0
Cagliari;Torino;37.54;32.88;29.58;70.42;62.46;67.12;57.59;42.41;31.03;68.97;13.47;86.53;38.45;false;48.78;0-0:15.3;2.3;3.0;3.4;;;;;;;;;-0.0594;-0.0045;0.0017;;;;;;;;;0;0;0.0007;0;0;0;0;0;0;0;0
Sassuolo;Lecce;45.97;35.52;18.51;81.49000000000001;54.03;64.48;40.84;59.16;16.72;83.28;5.57;94.43;22.29;false;66.65;0-0:23.75;2.62;3.3;2.62;;;;;;;;;0.078;0.0522;-0.1966;;;;;;;;;0.0481;0.0227;0;0;0;0;0;0;0;0;0
Udinese;Cremonese;40.2;35.95;23.85;76.15;59.800000000000004;64.05000000000001;44.63;55.37;19.02;80.98;6.64;93.36;27.04;false;41.49;0-0:21.99;2.45;3.25;2.9;;;;;;;;;-0.0062;0.0518;-0.1063;;;;;;;;;0;0.023;0;0;0;0;0;0;0;0;0
Newcastle_United;West Ham;50.31;25.42;24.27;75.73;49.69;74.58;73.43;26.57;48.3;51.7;26.19;73.81;51.69;false;40.64;1-1:12.45;2.15;3.8;3.1;;;;;;;;;0.038;-0.009;-0.0799;;;;;;;;;0.033;0;0;0;0;0;0;0;0;0;0
Atletico Madrid;Girona;56.42;25.31;18.27;81.73;43.58;74.69;68.47;31.53;41.5;58.5;20.68;79.32;42.88;false;56.93;1-0:14.65;1.67;4.1;4.5;;;;;;;;;-0.0346;0.0092;-0.0395;;;;;;;;;0;0.003;0;0;0;0;0;0;0;0;0
Elche;Getafe;43.85;32.61;23.54;76.46000000000001;56.15;67.39;52.84;47.16;26.78;73.22;11.0;89.0;33.79;false;70.55;1-0:18.25;2.3;2.875;3.6;;;;;;;;;0.0037;-0.0217;-0.0424;;;;;;;;;0.0028;0;0;0;0;0;0;0;0;0;0
Rayo Vallecano;Villarreal;48.65;26.72;24.63;75.37;51.349999999999994;73.28;67.84;32.16;42.21;57.79;21.38;78.62;46.01;false;68.22;1-0:13.76;2.0;3.7;3.5;;;;;;;;;-0.0135;-0.0031;-0.0394;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0
Levante;Mallorca;50.82;28.2;20.98;79.02;49.18;71.8;60.8;39.2;33.55;66.45;15.24;84.76;37.94;false;68.65;1-0:17.41;2.05;3.6;3.5;;;;;;;;;0.0204;0.0042;-0.0759;;;;;;;;;0.0194;0.0016;0;0;0;0;0;0;0;0;0
Sevilla;Real Madrid;24.09;24.07;51.84;48.16;75.91;75.93;76.25;23.75;52.11;47.89;30.04;69.96;54.07;false;66.03;1-1:11.77;3.1;3.6;2.15;;;;;;;;;-0.0817;-0.0371;0.0533;;;;;;;;;0;0;0.0463;0;0;0;0;0;0;0;0
